Sesso,DataNascita,DataDecesso,EtaDecesso
F,1924-11-14,2016-11-12,91
M,1911-01-29,2002-03-23,91
M,1934-04-09,2008-03-20,73
F,1926-11-13,2011-01-18,84
F,1910-04-28,2003-04-15,92
F,1981-10-06,2015-10-24,34
M,1926-10-07,2018-01-10,91
F,1929-11-15,2013-02-06,83
M,1928-06-18,2006-01-20,77
F,1947-10-14,2020-05-12,72
F,1937-06-24,2014-04-14,76
F,1925-02-11,2015-04-22,90
F,1914-03-15,2010-09-08,96
F,2007-08-22,2007-12-18,0
M,1930-02-12,2009-03-11,79
F,1954-02-02,2012-05-23,58
F,1961-12-07,2019-09-21,57
F,1923-06-14,2016-12-09,93
F,1911-06-07,2001-03-30,89
F,1930-07-20,2016-07-31,86
F,1929-06-23,2016-05-16,86
M,1941-01-22,2018-09-17,77
F,1912-06-30,2007-07-06,95
M,1935-07-06,2019-06-08,83
F,1922-03-06,2014-01-16,91
M,1920-05-29,2012-03-15,91
M,1925-12-16,2008-10-14,82
F,1945-08-15,2020-07-15,74
F,1929-01-16,2017-11-16,88
F,1939-02-22,2020-01-31,80
M,1917-04-22,2008-04-10,90
F,1921-05-20,2019-02-04,97
F,1921-08-15,2003-02-07,81
M,1914-04-04,2002-11-14,88
M,1928-04-30,2005-06-24,77
M,1926-06-26,2005-03-26,78
F,1924-02-05,2020-03-02,96
